Timestamp;Metric;FrameCount;PointsAdded;ChartTime_ms;FrameTime_ms;ChartImpact_Percent;FPS;AllocatedMemory_B
2026-06-08 14:27:36.163;Torque;1411;1;0,0114;8,1183;0,14;123,2;0,00
2026-06-08 14:27:36.189;Velocity;1413;1;0,0452;9,2815;0,49;107,7;4,00
2026-06-08 14:27:36.190;Current;1413;1;0,0235;9,2815;0,25;107,7;0,00
2026-06-08 14:27:36.191;Torque;1413;1;0,0207;9,2815;0,22;107,7;4,00
2026-06-08 14:27:36.221;Velocity;1415;1;0,0304;8,4511;0,36;118,3;0,00
2026-06-08 14:27:36.221;Current;1415;1;0,0404;8,4511;0,48;118,3;4,00
2026-06-08 14:27:36.225;Torque;1415;1;0,0190;8,4511;0,22;118,3;4,00
2026-06-08 14:27:36.285;Velocity;1417;1;0,0296;31,6715;0,09;31,6;0,00
2026-06-08 14:27:36.286;Current;1417;1;0,0194;31,6715;0,06;31,6;0,00
2026-06-08 14:27:36.286;Torque;1417;1;0,0212;31,6715;0,07;31,6;4,00
2026-06-08 14:27:36.332;Velocity;1419;1;0,0362;6,8537;0,53;145,9;0,00
2026-06-08 14:27:36.332;Current;1419;1;0,0224;6,8537;0,33;145,9;0,00
2026-06-08 14:27:36.333;Torque;1419;1;0,0111;6,8537;0,16;145,9;0,00
2026-06-08 14:27:36.372;Velocity;1421;1;0,0364;14,5190;0,25;68,9;0,00
2026-06-08 14:27:36.373;Current;1421;1;0,0184;14,5190;0,13;68,9;0,00
2026-06-08 14:27:36.373;Torque;1421;1;0,0127;14,5190;0,09;68,9;8,00
2026-06-08 14:27:36.403;Velocity;1423;1;0,0319;7,8924;0,40;126,7;0,00
2026-06-08 14:27:36.404;Current;1423;1;0,0178;7,8924;0,23;126,7;0,00
2026-06-08 14:27:36.404;Torque;1423;1;0,0090;7,8924;0,11;126,7;0,00
2026-06-08 14:27:36.432;Velocity;1425;1;0,0287;8,1459;0,35;122,8;0,00
2026-06-08 14:27:36.433;Current;1425;1;0,0170;8,1459;0,21;122,8;0,00
2026-06-08 14:27:36.433;Torque;1425;1;0,0072;8,1459;0,09;122,8;0,00
2026-06-08 14:27:36.463;Velocity;1427;1;0,0355;8,5824;0,41;116,5;4,00
