"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:09",690,"-12.582","-24.267","-11.589","-9.072","137.478","62.739","21.315","21.462","300.0","300.0"
"2025/05/26","13:57:09",789,"-12.582","-23.362","-11.136","-8.878","137.478","62.739","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:09",888,"-12.582","-25.257","-12.185","-9.964","137.478","62.739","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:09",989,"-12.582","-25.343","-12.120","-10.215","137.500","62.717","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:10",105,"-12.582","-25.247","-12.028","-10.273","137.500","62.717","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:10",221,"-12.582","-24.055","-11.545","-9.155","137.522","62.717","21.317","21.462","300.0","300.0"
"2025/05/26","13:57:10",305,"-12.582","-23.314","-11.433","-8.897","137.522","62.739","21.316","21.462","300.0","300.0"
"2025/05/26","13:57:10",405,"-12.582","-23.726","-11.408","-8.838","137.522","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:10",506,"-12.582","-25.458","-12.094","-9.955","137.543","62.739","21.317","21.462","300.0","300.0"
"2025/05/26","13:57:10",638,"-12.582","-24.338","-11.637","-10.213","137.543","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:10",723,"-12.582","-23.846","-11.455","-9.141","137.543","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:10",855,"-12.582","-24.667","-11.720","-10.025","137.543","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:10",940,"-12.582","-26.026","-12.397","-10.229","137.543","62.739","21.317","21.462","300.0","300.0"
"2025/05/26","13:57:11",55,"-12.582","-22.240","-10.560","-8.895","137.543","62.739","21.316","21.462","300.0","300.0"
"2025/05/26","13:57:11",154,"-12.582","-24.647","-11.745","-9.968","137.543","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:11",223,"-12.582","-24.647","-11.745","-9.968","137.543","62.739","21.316","21.462","300.0","300.0"
"2025/05/26","13:57:11",322,"-12.582","-24.619","-11.710","-10.216","137.543","62.739","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:11",456,"-12.582","-24.458","-11.576","-10.025","137.543","62.717","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:11",555,"-12.582","-25.509","-12.133","-10.229","137.543","62.717","21.317","21.462","300.0","300.0"
"2025/05/26","13:57:11",655,"-12.582","-24.350","-11.492","-9.145","137.565","62.717","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:11",773,"-12.582","-22.330","-10.652","-7.764","137.565","62.717","21.316","21.462","300.0","300.0"
"2025/05/26","13:57:11",888,"-12.582","-23.733","-11.535","-9.707","137.543","62.717","21.316","21.462","300.0","300.0"
"2025/05/26","13:57:11",971,"-12.582","-25.459","-12.200","-10.155","137.543","62.674","21.317","21.463","300.0","300.0"
"2025/05/26","13:57:12",72,"-12.582","-22.469","-10.662","-7.997","137.543","62.674","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:12",188,"-12.582","-23.648","-11.307","-8.630","137.543","62.674","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:12",273,"-12.582","-24.154","-11.609","-9.907","137.543","62.652","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:12",388,"-12.582","-24.856","-11.910","-10.202","137.522","62.652","21.316","21.463","300.0","300.0"
"2025/05/26","13:57:12",522,"-12.582","-23.848","-11.210","-9.139","137.522","62.630","21.315","21.463","300.0","300.0"
"2025/05/26","13:57:12",655,"-12.582","-23.149","-10.972","-8.894","137.522","62.630","21.314","21.462","300.0","300.0"
"2025/05/26","13:57:12",805,"-12.582","-22.239","-10.572","-8.824","137.522","62.630","21.314","21.463","300.0","302.5"
"2025/05/26","13:57:12",905,"-12.582","-23.829","-11.209","-8.821","137.522","62.630","21.314","21.461","300.0","302.5"
"2025/05/26","13:57:12",971,"-12.582","-25.832","-12.279","-9.951","137.522","62.674","21.315","21.462","300.0","302.5"
"2025/05/26","13:57:13",105,"-12.582","-23.256","-11.218","-9.081","137.522","62.674","21.313","21.462","300.0","320.9"
"2025/05/26","13:57:13",206,"-12.582","-23.246","-11.204","-8.880","137.500","62.695","21.314","21.460","300.0","320.9"
