"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2024/12/05","13:50:39",415,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.7","23.0"
"2024/12/05","13:50:40",433,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.2"
"2024/12/05","13:50:41",448,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:50:42",448,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.2"
"2024/12/05","13:50:43",482,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:50:44",515,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.7","23.1"
"2024/12/05","13:50:52",697,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.9","22.9"
"2024/12/05","13:50:53",714,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
