"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2024/12/05","13:52:21",644,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:52:22",661,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.7","23.1"
"2024/12/05","13:52:23",677,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.6","23.2"
"2024/12/05","13:52:24",711,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:52:25",711,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.7","22.9"
"2024/12/05","13:52:26",744,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","23.1"
"2024/12/05","13:52:27",760,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.8","22.9"
"2024/12/05","13:52:28",795,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:52:29",811,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:52:30",826,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.7","23.1"
"2024/12/05","13:52:31",844,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","23.2"
