"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2024/12/05","13:49:27",868,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.1"
"2024/12/05","13:49:28",884,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:49:29",901,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.1"
"2024/12/05","13:49:30",934,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.2"
"2024/12/05","13:49:31",951,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
"2024/12/05","13:49:32",969,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.1"
"2024/12/05","13:49:33",984,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
"2024/12/05","13:49:35",35,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.2"
"2024/12/05","13:49:36",35,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.0"
"2024/12/05","13:49:37",51,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:49:38",101,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.912","22.0","22.9"
"2024/12/05","13:49:39",118,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:49:40",134,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:49:41",167,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.1"
"2024/12/05","13:49:42",184,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.8","23.2"
"2024/12/05","13:49:43",200,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
"2024/12/05","13:49:44",217,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","22.9"
"2024/12/05","13:49:45",250,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.9","22.9"
"2024/12/05","13:49:46",266,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","22.9"
"2024/12/05","13:49:47",285,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.912","22.0","23.2"
"2024/12/05","13:49:48",301,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.2"
"2024/12/05","13:49:49",318,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:49:50",351,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:49:51",368,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.8","23.1"
"2024/12/05","13:49:52",384,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.9","23.2"
"2024/12/05","13:49:53",401,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.7","23.2"
"2024/12/05","13:49:54",417,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","22.0","22.9"
"2024/12/05","13:49:55",467,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.7","23.2"
