"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2024/12/05","13:56:01",319,"0.000","1.752","0.923","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.0"
"2024/12/05","13:56:02",335,"1.265","279.534","134.028","118.818","0.065","-0.043","-25.855","-25.913","22.0","23.1"
"2024/12/05","13:56:03",385,"6.081","36.389","17.401","14.183","0.065","-0.043","-25.855","-25.912","21.9","23.0"
"2024/12/05","13:56:04",420,"10.465","42.658","20.703","18.554","0.065","-0.043","-25.855","-25.913","21.6","23.0"
"2024/12/05","13:56:05",418,"11.661","30.415","14.283","11.502","0.087","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:56:06",451,"11.661","27.445","13.256","11.760","0.282","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:56:07",469,"11.661","27.092","12.814","10.351","0.477","-0.043","-25.856","-25.914","22.0","22.9"
"2024/12/05","13:56:08",502,"11.661","26.846","12.889","10.626","0.391","-0.043","-25.856","-25.913","22.0","23.1"
"2024/12/05","13:56:09",519,"11.661","26.484","12.604","10.541","0.412","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:56:10",536,"11.661","27.738","13.152","11.424","0.391","-0.043","-25.856","-25.913","21.8","23.2"
"2024/12/05","13:56:11",552,"11.661","28.640","13.633","11.437","0.521","-0.043","-25.855","-25.914","21.9","23.1"
"2024/12/05","13:56:12",569,"11.661","28.939","13.827","11.435","0.586","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:56:13",585,"11.661","27.378","13.035","11.434","0.586","-0.043","-25.856","-25.914","22.0","23.1"
"2024/12/05","13:56:14",618,"11.661","25.073","11.971","10.290","0.477","-0.043","-25.856","-25.913","22.0","22.9"
